UID,JOIN_DATE
79637,2009-10-12
80006,2009-09-30
80791,2010-01-12
81013,2009-10-03
81453,2009-10-11
81629,2009-10-02
83462,2009-10-06
83561,2009-10-06
84028,2009-10-07
85204,2009-10-13
85510,2009-10-07
86278,2009-10-08
86307,2009-10-19
86412,2009-10-08
87172,2009-10-10
89010,2009-10-19
89123,2009-10-13
89359,2009-10-14
90419,2009-10-15
90848,2009-10-16
90916,2009-10-16
90971,2009-10-16
90979,2009-10-16
92802,2009-10-17
93097,2009-10-18
94734,2010-01-28
95448,2009-12-28
97042,2009-10-19
97603,2009-11-18
97865,2009-10-26
99036,2009-11-02
99390,2010-02-03
99601,2009-10-22
99880,2009-10-22
99914,2010-02-03
100264,2009-10-22
100269,2009-10-22
100580,2009-11-05
100720,2009-10-23
101048,2009-10-23
101054,2009-10-23
101284,2009-10-27
101939,2009-11-18
101944,2009-10-29
101947,2009-11-06
103227,2009-10-24
103714,2009-10-27
104602,2009-10-26
105321,2009-10-26
107271,2009-10-27
107970,2009-11-04
108062,2009-10-28
108734,2009-10-29
108736,2009-10-28
109150,2009-10-28
109787,2009-10-29
109859,2009-10-29
110795,2009-10-30
113262,2009-10-31
114774,2009-11-02
114804,2009-11-02
115599,2009-11-02
115671,2009-11-02
115791,2009-11-02
116373,2009-11-03
116454,2009-11-04
116490,2009-11-04
118028,2010-02-22
118975,2009-11-06
120470,2009-11-09
125168,2009-11-07
128006,2009-11-08
129006,2009-11-10
129748,2009-11-12
129792,2009-12-09
130175,2009-11-09
130284,2009-11-10
130316,2009-11-10
130332,2009-11-10
130335,2009-11-10
130345,2009-11-10
130348,2009-11-10
130435,2009-11-10
130465,2009-11-10
130484,2009-11-10
130489,2009-11-10
130503,2009-11-10
130560,2009-11-10
130692,2009-11-11
130725,2009-11-13
130756,2009-11-10
130812,2009-11-10
130836,2009-11-10
130841,2009-11-10
130949,2009-11-10
130964,2009-11-10
131036,2009-11-10
131043,2009-11-10
131073,2009-11-10
131086,2009-11-11
131095,2009-11-10
131115,2009-11-11
131133,2009-11-10
131159,2009-11-11
131170,2009-11-11
131211,2009-11-11
131217,2009-11-11
131218,2009-11-11
131226,2009-11-11
131231,2009-11-11
131236,2009-11-11
131255,2009-11-11
131261,2009-11-11
131262,2009-11-11
131396,2009-11-11
131441,2009-11-11
131471,2009-11-11
131498,2009-11-11
131512,2009-11-11
131524,2009-11-11
131540,2009-11-11
131563,2009-11-12
131620,2009-11-11
131626,2009-11-12
131742,2009-11-11
131750,2009-11-11
131763,2009-11-30
131795,2009-11-12
131808,2009-11-11
131892,2009-11-12
131905,2009-11-12
131930,2009-11-12
131961,2009-11-12
132008,2009-11-12
132016,2009-11-16
132072,2009-11-12
132301,2009-11-12
132490,2009-11-13
132591,2009-11-23
133498,2009-11-13
133525,2009-12-01
133686,2009-11-19
134462,2009-11-14
134501,2009-11-14
134646,2010-01-18
134975,2010-03-01
135070,2009-11-17
135293,2009-11-30
135473,2009-11-15
135485,2009-11-15
135487,2009-11-15
135551,2009-11-15
135602,2009-11-15
135615,2009-11-15
135619,2009-11-15
135774,2009-11-16
135796,2009-11-16
135847,2009-11-16
135874,2010-02-15
135877,2009-11-16
136548,2009-11-16
136879,2009-11-24
136891,2009-11-16
137941,2009-11-17
137966,2009-11-17
138183,2009-11-17
138203,2009-11-22
138348,2009-11-17
138901,2009-11-18
139805,2010-01-21
140781,2009-11-18
141079,2009-11-18
143954,2010-01-08
147357,2009-11-20
147680,2009-11-20
147838,2009-11-20
150877,2009-11-21
151959,2010-01-07
152287,2009-11-22
152441,2010-02-08
153501,2009-11-23
154853,2009-11-29
163430,2009-11-29
163697,2009-11-30
164188,2009-11-30
164894,2009-11-30
166847,2009-12-01
168030,2009-12-02
168652,2009-12-02
168756,2009-12-03
168850,2009-12-05
168865,2009-12-07
169008,2009-12-06
169347,2009-12-03
170460,2009-12-03
170690,2009-12-03
171080,2009-12-04
173006,2009-12-07
173141,2009-12-04
177092,2009-12-06
177820,2009-12-06
177830,2009-12-06
177888,2009-12-17
177890,2009-12-06
177929,2009-12-07
178147,2009-12-06
178253,2009-12-07
178266,2009-12-07
178315,2009-12-07
178319,2009-12-07
178373,2009-12-07
178713,2010-01-24
178719,2009-12-07
178724,2009-12-07
178735,2009-12-14
178748,2009-12-18
178762,2009-12-14
178773,2009-12-08
179082,2010-01-03
180056,2009-12-08
180839,2009-12-09
181222,2009-12-09
182300,2009-12-10
182646,2009-12-10
182695,2009-12-10
184243,2009-12-11
188649,2009-12-13
189273,2009-12-13
189706,2010-01-11
190148,2010-02-08
190444,2010-01-03
190470,2010-03-01
191636,2010-01-20
192617,2009-12-15
192833,2009-12-16
193130,2009-12-15
193203,2009-12-15
193372,2009-12-16
195357,2009-12-17
195392,2009-12-28
197382,2009-12-18
203074,2009-12-22
204098,2009-12-21
204711,2009-12-22
204965,2009-12-22
207644,2009-12-23
209418,2009-12-23
213237,2010-01-29
219046,2009-12-30
221384,2009-12-28
221405,2010-01-05
222278,2010-01-04
225475,2010-01-05
227868,2010-01-02
229312,2010-01-04
229411,2010-01-03
229448,2010-01-03
230242,2010-01-04
